file_name,cells_filled,sum_fitness,best_fitness,best_fitness_commands
/home/logan/gym/gymjam/lander_legs_plus_output/landerStepsDiff_10_latest.pkl,65,-2393.1134065828273,62.694319057593134,1/1/1/1/0/1/2/2/2/1/2/2/3/1/2/2/3/3/2/0/0/0/3/1/2/1/0/3/2/0/3/3/3/2/0/3/3/1/1/3/1/3/1/3/0/0/2/3/1/1/1/3/0/3/3/2/1/0/2/2/2/1/3/1/3/2/1/2/3/3/1/3/2/3/2/0/2/3/2/3/0/3/0/3/2/3/2/0/0/3/0/0/0/3/0/1/3/2/0/2
/home/logan/gym/gymjam/lander_legs_plus_output/landerStepsDiff_11_latest.pkl,61,-1797.318078638431,32.87388521533083,1/2/2/1/2/1/0/0/3/2/0/1/2/2/1/1/2/1/3/1/2/3/0/3/2/3/1/2/0/2/0/2/2/1/3/2/1/1/1/1/2/1/2/1/3/0/1/0/0/0/3/2/0/3/3/1/1/1/0/3/1/1/2/2/3/1/2/1/2/1/1/3/0/3/1/2/2/2/2/3/3/0/0/3/2/3/3/2/3/0/3/2/2/3/2/2/1/0/0/2
/home/logan/gym/gymjam/lander_legs_plus_output/landerStepsDiff_12_latest.pkl,56,-1623.274879173395,41.9323134449881,2/1/2/2/1/0/0/2/1/0/0/2/2/0/1/2/1/3/1/2/2/2/2/3/2/2/1/1/1/2/2/0/2/3/1/3/0/0/3/3/0/3/2/2/1/1/1/1/2/1/2/1/3/2/0/3/2/0/0/3/1/1/2/1/0/0/3/2/2/0/2/3/0/3/2/2/1/1/3/1/1/1/3/2/0/0/0/2/1/3/2/3/1/3/0/2/2/2/0/3
/home/logan/gym/gymjam/lander_legs_plus_output/landerStepsDiff_13_latest.pkl,62,-2034.3688078939786,43.213672834504536,2/2/0/2/1/1/1/1/2/0/2/2/2/1/0/3/3/1/0/3/1/3/0/2/3/2/0/2/2/1/1/2/2/2/0/0/1/3/0/0/1/0/3/3/1/0/2/0/0/1/1/1/0/3/1/1/2/2/2/2/1/1/1/3/3/1/1/0/2/3/2/1/3/2/2/2/1/1/2/3/3/2/0/3/3/0/2/0/0/3/3/1/0/2/1/2/0/2/1/2
/home/logan/gym/gymjam/lander_legs_plus_output/landerStepsDiff_14_latest.pkl,60,-1576.2030169544266,51.165354126789225,1/1/2/1/1/1/0/1/2/1/1/2/1/3/3/2/3/3/0/0/0/1/0/3/3/3/0/3/1/1/0/0/2/3/1/0/2/1/0/1/1/0/1/1/0/0/2/2/0/3/3/0/1/1/0/1/1/1/0/0/1/1/3/2/3/3/1/3/3/3/3/2/0/0/0/3/3/1/3/3/2/3/1/0/2/0/0/1/1/0/0/0/3/1/0/0/1/3/1/3
/home/logan/gym/gymjam/lander_legs_plus_output/landerStepsDiff_15_latest.pkl,61,-1011.1496587588634,290.3353200326112,1/0/1/1/1/2/1/2/2/2/2/2/2/3/0/2/2/0/2/2/2/2/2/1/1/0/3/3/3/2/0/3/0/0/0/0/3/3/2/3/2/2/0/3/3/0/0/2/3/1/0/2/0/3/2/0/3/2/2/1/0/3/0/0/2/1/2/0/0/2/2/0/3/1/1/3/3/3/2/3/1/1/1/3/2/0/1/2/0/0/3/0/2/2/3/1/1/1/2/0
/home/logan/gym/gymjam/lander_legs_plus_output/landerStepsDiff_16_latest.pkl,68,-1867.651449665468,45.096101359644365,0/1/2/1/1/1/1/2/1/1/2/0/3/1/2/2/2/2/0/0/3/0/1/3/2/0/3/3/0/1/3/0/0/3/1/0/0/2/3/3/0/2/1/0/3/3/1/2/3/1/1/2/3/0/0/1/1/1/1/3/3/3/3/3/1/0/3/1/3/0/1/1/2/2/2/0/2/2/3/1/1/3/0/1/1/3/1/3/3/2/3/1/3/0/1/3/2/0/2/0
/home/logan/gym/gymjam/lander_legs_plus_output/landerStepsDiff_17_latest.pkl,57,-1877.2198661358182,46.590072630307475,1/1/2/1/1/0/2/1/0/1/2/0/1/2/0/2/2/3/2/2/3/0/3/0/1/0/1/3/3/0/0/0/1/2/0/0/1/0/0/1/1/0/1/3/0/2/2/3/2/2/0/2/3/0/1/2/2/1/2/1/2/2/1/2/3/3/1/2/0/2/3/2/2/1/3/1/2/1/3/0/1/0/3/0/3/2/1/2/1/3/3/2/3/0/2/1/1/2/3/0
/home/logan/gym/gymjam/lander_legs_plus_output/landerStepsDiff_18_latest.pkl,56,-1066.9750738756873,51.98177580851549,2/0/2/2/2/1/1/1/0/1/2/2/1/0/2/3/3/2/3/3/1/2/1/2/1/2/2/0/2/2/1/2/2/0/1/3/0/1/2/1/1/2/1/0/0/3/2/0/1/1/3/0/3/0/1/1/3/0/1/3/2/3/1/0/1/3/0/3/0/3/3/2/3/1/2/0/1/0/0/3/0/0/3/0/3/0/0/0/1/1/0/2/3/3/3/0/0/1/2/0
/home/logan/gym/gymjam/lander_legs_plus_output/landerStepsDiff_19_latest.pkl,64,-2620.0198459079215,53.130372136031525,1/1/3/1/2/2/1/2/2/2/2/2/0/2/1/2/2/1/0/1/1/3/2/0/2/0/1/0/3/2/0/3/3/2/0/1/0/2/2/1/1/1/0/1/3/3/3/1/1/3/3/0/2/1/1/3/1/1/3/3/3/0/2/1/1/1/0/1/3/2/3/0/3/1/0/1/0/1/2/3/0/3/3/3/0/3/1/1/2/3/2/0/3/0/2/2/0/2/3/2
